"","Nest_ID","NoFNstl","NoMNstl","Initiation_date","Year_located","Project_ID","Transect_ID2","Init_day","transect"
"1","EMFWOR_NCAMC1-01A_2017",1,1,"2017-05-23",2017,"EMFWOR","EMFWOR_CAMC1",143,"EMFWOR_NCAMC1"
"2","EMFWOR_NCAMC1-02A_2018",1,1,"2018-05-28",2018,"EMFWOR","EMFWOR_CAMC1",148,"EMFWOR_NCAMC1"
"3","EMFWOR_NCAMC1-09A_2018",2,1,"2018-05-17",2018,"EMFWOR","EMFWOR_CAMC1",137,"EMFWOR_NCAMC1"
"4","EMFWOR_NCAMC1-10A_2017",0,3,"2017-05-14",2017,"EMFWOR","EMFWOR_CAMC1",134,"EMFWOR_NCAMC1"
"5","EMFWOR_NCAMC1-10A_2020",0,2,"2020-06-23",2020,"EMFWOR","EMFWOR_CAMC1",175,"EMFWOR_NCAMC1"
"6","EMFWOR_NCAMC2-10A_2018",0,2,"2018-05-23",2018,"EMFWOR","EMFWOR_CAMC2",143,"EMFWOR_NCAMC2"
"7","EMFWOR_NCAMC3-08A_2018",1,3,"2018-05-20",2018,"EMFWOR","EMFWOR_CAMC3",140,"EMFWOR_NCAMC3"
"8","EMFWOR_NCAMC3-08A_2020",0,1,"2020-05-25",2020,"EMFWOR","EMFWOR_CAMC3",146,"EMFWOR_NCAMC3"
"9","EMFWOR_NCAMC4-01A_2018",0,1,"2018-06-03",2018,"EMFWOR","EMFWOR_CAMC4",154,"EMFWOR_NCAMC4"
"10","EMFWOR_NCAMC4-07A_2018",1,1,"2018-05-23",2018,"EMFWOR","EMFWOR_CAMC4",143,"EMFWOR_NCAMC4"
"11","EMFWOR_NCAMC4-07A_2019",1,0,"2019-05-26",2019,"EMFWOR","EMFWOR_CAMC4",146,"EMFWOR_NCAMC4"
"12","EMFWOR_NCAMC4-10A_2018",0,1,"2018-05-22",2018,"EMFWOR","EMFWOR_CAMC4",142,"EMFWOR_NCAMC4"
"13","EMFWOR_NCAMC4-10B_2018",0,1,"2018-05-22",2018,"EMFWOR","EMFWOR_CAMC4",142,"EMFWOR_NCAMC4"
"14","EMFWOR_NCAMC5-01A_2018",1,2,"2018-05-20",2018,"EMFWOR","EMFWOR_CAMC5",140,"EMFWOR_NCAMC5"
"15","EMFWOR_NCAMC6-03A_2023",1,1,"2023-06-04",2023,"EMFWOR","EMFWOR_CAMC6",155,"EMFWOR_NCAMC6"
"16","EMFWOR_NCAMC7-06A_2018",2,2,"2018-05-28",2018,"EMFWOR","EMFWOR_CAMC7",148,"EMFWOR_NCAMC7"
"17","EMFWOR_NCAMC7-06A_2020",1,1,"2020-05-24",2020,"EMFWOR","EMFWOR_CAMC7",145,"EMFWOR_NCAMC7"
"18","EMFWOR_NCAMC8-06A_2023",1,1,"2023-06-03",2023,"EMFWOR","EMFWOR_CAMC8",154,"EMFWOR_NCAMC8"
"19","EMFWOR_NCAMC8-07A_2017",2,1,"2017-05-22",2017,"EMFWOR","EMFWOR_CAMC8",142,"EMFWOR_NCAMC8"
"20","EMFWOR_NCAMC8-07A_2018",1,1,"2018-05-23",2018,"EMFWOR","EMFWOR_CAMC8",143,"EMFWOR_NCAMC8"
"21","EMFWOR_NCAMC8-09A_2019",1,1,"2019-06-23",2019,"EMFWOR","EMFWOR_CAMC8",174,"EMFWOR_NCAMC8"
"22","EMFWOR_NCAMC8-09A_2020",1,1,"2020-06-01",2020,"EMFWOR","EMFWOR_CAMC8",153,"EMFWOR_NCAMC8"
"23","EMFWOR_NLFTT2-01A_2017",2,1,"2017-06-05",2017,"EMFWOR","EMFWOR_LFTT2",156,"EMFWOR_NLFTT2"
"24","EMFWOR_NLFTT2-01A_2018",0,3,"2018-05-30",2018,"EMFWOR","38",150,"EMFWOR_NLFTT2"
