"","ID","year","LowCC","LandHa","Tave_sp","Tave_wt","PPT_wt"
"1","LKV_0001",2011,18.8618355,0,3.1,-1,228
"2","LKV_0001",2012,19.7125263,0,5.2,-0.9,140
"3","LKV_0001",2013,19.9178638,0,5.6,-2,139
"4","LKV_0001",2014,20.2405396,0,6,-0.4,165
"5","LKV_0001",2015,20.6218834,0,6.5,2.1,177
"6","LKV_0001",2016,18.656498,0,6.6,-0.3,258
"7","LKV_0001",2017,16.1924324,0,5.7,-3,317
"8","LKV_0001",2018,17.336462,0,5.7,-0.2,81
"9","LKV_0001",2019,18.1578178,0,5.2,-1.7,229
"10","LKV_0001",2020,18.4218254,0,5.6,-0.1,143
"11","LKV_0001",2021,18.3044872,0,5.6,-0.5,110
"12","LKV_0002",2011,12.7310066,0.8213552,2.7,-1.3,265
"13","LKV_0002",2012,12.9656792,0.8213552,4.8,-1.2,162
"14","LKV_0002",2013,12.9950132,0.8213552,5.2,-2.3,160
"15","LKV_0002",2014,13.3763571,0.8213552,5.6,-0.7,193
"16","LKV_0002",2015,13.6990318,0.8213552,6.1,1.8,205
"17","LKV_0002",2016,13.9923735,0.8213552,6.2,-0.6,297
"18","LKV_0002",2017,12.437665,0.8213552,5.3,-3.3,368
"19","LKV_0002",2018,12.9950132,0.8213552,5.3,-0.5,94
"20","LKV_0002",2019,13.1123495,0.8213552,4.8,-2,266
"21","LKV_0002",2020,13.2296858,0.8213552,5.2,-0.4,166
"22","LKV_0002",2021,13.2003517,0.8213552,5.2,-0.8,128
"23","LKV_0003",2011,10.3549423,0.1760047,3.1,-1,244
"24","LKV_0003",2012,11.0002937,0.1760047,5.2,-1,149
"25","LKV_0003",2013,11.1762981,0.1760047,5.6,-2,148
"26","LKV_0003",2014,11.4109707,0.1760047,6,-0.4,177
"27","LKV_0003",2015,11.557642,0.1760047,6.5,2.1,190
"28","LKV_0003",2016,11.8509827,0.1760047,6.6,-0.4,276
"29","LKV_0003",2017,11.3816366,0.1760047,5.7,-3,339
"30","LKV_0003",2018,11.6456442,0.1760047,5.6,-0.2,87
"31","LKV_0003",2019,11.7923145,0.1760047,5.2,-1.8,246
"32","LKV_0003",2020,11.7923145,0.1760047,5.6,-0.1,153
"33","LKV_0003",2021,11.8216486,0.1760047,5.5,-0.5,118
"34","LKV_0004",2011,8.5362272,0,3.6,-0.7,216
"35","LKV_0004",2012,8.8295689,0,5.7,-0.6,131
"36","LKV_0004",2013,9.0349073,0,6.1,-1.7,132
"37","LKV_0004",2014,9.2109127,0,6.5,-0.1,156
"38","LKV_0004",2015,9.2402468,0,7,2.4,168
