Visit_ID,Point_ID,Survey_Date,Visit_no,St_time,Survey_length,Wind,Temp_C,Observer,Recorder,Reviewer,Comments
EMFWOR_BGCT1-01_2015-05-27,EMFWOR_BGCT1-01,2015-05-27,1,1/0/00,270,0,12.5,PEJ,PEJ,MJR,HAWO CA >150m S w/1:16 rem
EMFWOR_BGCT1-01_2015-06-16,EMFWOR_BGCT1-01,2015-06-16,2,1/0/00,270,0,10,MJR,MJR,PEJ,Unk DR to S ~20m before survey started- unable to spot the bird.
EMFWOR_BGCT1-01_2016-06-09,EMFWOR_BGCT1-01,2016-06-09,1,1/0/00,540,0,7,LNY,LNY,NSD,Very quiet.  Only faint distant bird calls.
EMFWOR_BGCT1-01_2016-06-29,EMFWOR_BGCT1-01,2016-06-29,2,1/0/00,540,0,26,JAG,JAG,LNY,
EMFWOR_BGCT1-01_2017-06-06,EMFWOR_BGCT1-01,2017-06-06,1,1/0/00,540,1,7,SMM,SMM,REK,Very thick with CWD and young dead trees. Difficult to see through. NOFL @ 5:40.
EMFWOR_BGCT1-01_2017-06-26,EMFWOR_BGCT1-01,2017-06-26,2,1/0/00,540,1,21,REK,REK,NNR,Mtn mohagany and PIPO. Wind gusts of 2. Nuthatch nest nearby
EMFWOR_BGCT1-01_2018-06-05,EMFWOR_BGCT1-01,2018-06-05,1,1/0/00,540,1,14,PAH,PAH,MEB,
EMFWOR_BGCT1-01_2018-07-02,EMFWOR_BGCT1-01,2018-07-02,2,1/0/00,540,0,6,MFG,MFG,MEB,8.45 rem sapsucker dr heard E w/50m-150m; 6.20 sapsucker heard >150m S
EMFWOR_BGCT1-01_2019-06-05,EMFWOR_BGCT1-01,2019-06-05,1,1/0/00,540,0,19,DCI,DCI,PAH,
EMFWOR_BGCT1-01_2019-06-17,EMFWOR_BGCT1-01,2019-06-17,2,1/0/00,540,1,11,AAC,AAC,PAH,
EMFWOR_BGCT1-01_2020-05-22,EMFWOR_BGCT1-01,2020-05-22,1,1/0/00,540,0,-1,TES,TES,MEW,"F WHWO flew in a bit after 3rd playback call, flew into tree S ~20m. Flew in from the W. Also had HAWO fly into same tree."
EMFWOR_BGCT1-01_2020-06-15,EMFWOR_BGCT1-01,2020-06-15,2,1/0/00,540,2,9,JAB,JAB,MEW,"DEJU, BRCR, chipmunk calling incessantly"
EMFWOR_BGCT1-01_2021-05-28,EMFWOR_BGCT1-01,2021-05-28,1,1/0/00,540,0,5,ALC,ALC,ALC,thin whispy clouds
EMFWOR_BGCT1-01_2021-06-16,EMFWOR_BGCT1-01,2021-06-16,2,1/0/00,540,1,12,CAS,CAS,CAS,burn plots >50m
EMFWOR_BGCT1-02_2015-05-27,EMFWOR_BGCT1-02,2015-05-27,1,1/0/00,270,0,11,PEJ,PEJ,MJR,
EMFWOR_BGCT1-02_2015-06-16,EMFWOR_BGCT1-02,2015-06-16,2,1/0/00,270,0,11,MJR,MJR,PEJ,WISA CA to E @ 2 min rem
EMFWOR_BGCT1-02_2016-06-09,EMFWOR_BGCT1-02,2016-06-09,1,1/0/00,540,0,9,LNY,LNY,NSD,
EMFWOR_BGCT1-02_2016-06-29,EMFWOR_BGCT1-02,2016-06-29,2,1/0/00,540,0,26,JAG,JAG,LNY,
EMFWOR_BGCT1-02_2017-06-06,EMFWOR_BGCT1-02,2017-06-06,1,1/0/00,540,0,7,SMM,SMM,REK,A bit more open in the understory. Solid PIPO. No woodpeckers. Only Mtn. Chickadees
EMFWOR_BGCT1-02_2017-06-26,EMFWOR_BGCT1-02,2017-06-26,2,1/0/00,540,1,20,REK,REK,NNR,Fairly open PIPO. Lots of juncos.
EMFWOR_BGCT1-02_2018-06-05,EMFWOR_BGCT1-02,2018-06-05,1,1/0/00,540,1,13,PAH,PAH,MEB,
EMFWOR_BGCT1-02_2018-07-02,EMFWOR_BGCT1-02,2018-07-02,2,1/0/00,540,0,6,MFG,MFG,MEB,7.40 heard dr sapsucker >150m S
EMFWOR_BGCT1-02_2019-06-05,EMFWOR_BGCT1-02,2019-06-05,1,1/0/00,540,1,18,DCI,DCI,PAH,Foraging and 'Pik'ing heard 50-150m SE. 2:11 remaining. Confirmed male HAWO after playback.
EMFWOR_BGCT1-02_2019-06-17,EMFWOR_BGCT1-02,2019-06-17,2,1/0/00,540,1,11,AAC,AAC,PAH,STJAs present; NOFL A det; C; W; 50-150m; prior to survey.
EMFWOR_BGCT1-02_2020-05-22,EMFWOR_BGCT1-02,2020-05-22,1,1/0/00,540,0,-2,TES,TES,MEW,
EMFWOR_BGCT1-02_2020-06-15,EMFWOR_BGCT1-02,2020-06-15,2,1/0/00,540,2,8,JAB,JAB,MEW,"RBNU, MOCH, CORA"
EMFWOR_BGCT1-02_2021-05-28,EMFWOR_BGCT1-02,2021-05-28,1,1/0/00,540,0,5,ALC,ALC,ALC,thin whispy clouds
EMFWOR_BGCT1-02_2021-06-16,EMFWOR_BGCT1-02,2021-06-16,2,1/0/00,540,1,11,CAS,CAS,CAS,
