Visit_ID,Species,Sex,Detection,Distance_class,Behavior,Time_left_min,Time_left_sec,Comments,Period
EMFWOR_CAMC7-06_2015-05-29,WHWO,M,V,,FL,,,"midway between pt 6 & pt 7, M WHWO Obs chasing F HAWO from snag to snag for 3 minutes",TR
EMMAOR_CLIFFC1-01_2016-06-21,WHWO,F,V,0_50,FL,,,"WHWO rattled from N after survey at 1017, flew within 50m headed south",TR
EMMAOR_CLIFFC1-08_2016-05-24,WHWO,U,A,,C,,,WHWO in canyon en routre P7 to P8.  Probable nest area.,TR
EMMAOR_FLAGC1-05_2016-05-19,WHWO,U,A,,C,,,WHWO CA en route P6 to P5 west of transect.  Numerous snags.,TR
EMMAOR_FLAGC2-10_2016-06-02,WHWO,U,A,,C,,,Heard WHWO ~150m away walking from truck to Pt 10,TR
EMMAOR_MDC2-07_2014-06-24,WHWO,M,V,50_150,FL,,,Saw M WHWO ~90m S of pt on way to pt; M flew ~400m SW across drainage,TR
EMMAOR_PAWT1-10_2014-06-05,WHWO,U,A,,C,,,WHWO CA heard E while walking from pt 9 to pt 10,TR
EMMAOR_PRONGC1-06_2016-05-31,WHWO,U,A,,C,,,Heard WHWO CA on way to pt 6,TR
EMMAOR_UPCA1-03_2015-06-25,WHWO,M,V,,F,,,"Walked by female and male near cavity on way to pt 3.  Heard foraging at survey start, bird never came closer.  Went to confirm WHWO female foraging",TR
EMMAOR_UPCA1-05_2014-05-06,WHWO,U,A,ovr_150,C,,,Heard WHWO ~0820 btwn pts 5 & 6 while walking to pt 10 to start surveys - later was too windy to detect during survey,TR
EMMAOR_WOLFTA1-01_2016-06-17,WHWO,U,A,50_150,C,,,WHWO rattle 100m N of Pt 1 during nest search,TR
EMMAOR_WOLFTB1-06_2016-06-07,WHWO,U,V,ovr_150,FL,,,Flushed WHWO from nest on way to Pt 6 (NWOLFTB1-06A) about 169m S of point 6,TR
EMMAOR_WOLFTB4-08_2014-05-15,WHWO,U,A,,C,,,DR heard NW of pt; WHWO CA heard to NW as well,TR
EMMAOR_WOLFTB4-08_2016-05-26,WHWO,U,A,,C,,,"WHWO rattled while walking from pt 9 to pt 8, just S of 9.  HAWO called SE of 9.  WHWO rattled W of 9 after point count.",TR
