"","POINT_ID","sci12_010_1km","sci13_010_1km","sci14_010_1km","sci15_010_1km","sci16_010_1km","sci17_010_1km","sci18_010_1km","sci19_010_1km","sci20_010_1km","sci21_010_1km","sci11_1040_1km","sci12_1040_1km","sci13_1040_1km","sci14_1040_1km","sci15_1040_1km","sci16_1040_1km","sci17_1040_1km","sci18_1040_1km","sci19_1040_1km","sci20_1040_1km","sci21_1040_1km","sci11_4070_1km","sci12_4070_1km","sci13_4070_1km","sci14_4070_1km","sci15_4070_1km","sci16_4070_1km","sci17_4070_1km","sci18_4070_1km","sci19_4070_1km","sci20_4070_1km","sci21_4070_1km","sci11_GT70_1km","sci12_GT70_1km","sci13_GT70_1km","sci14_GT70_1km","sci15_GT70_1km","sci16_GT70_1km","sci17_GT70_1km","sci18_GT70_1km","sci19_GT70_1km","sci20_GT70_1km","sci21_GT70_1km"
"1","EMMAOR_FLAGC1-01",1.261367,1.2026987,1.1733646,1.4080375,1.9067175,2.1120563,2.0827222,1.9947199,1.9360516,2.0240541,16.1924324,16.7791138,17.4244652,17.9524784,18.6271629,19.565855,19.7125263,19.8298626,20.4752121,21.5019073,22.0299206,69.9912033,69.7271957,69.3458481,69.3751831,69.4925232,69.0231705,68.905838,68.6711655,68.3191528,67.4684677,67.3217926,6.5121737,6.2188325,6.0134935,5.4854798,4.4587855,3.4907598,3.2560868,3.4027574,3.1974187,3.0800822,2.6107364
"2","EMMAOR_FLAGC1-02",1.4667058,1.4080375,1.3787035,1.5840422,2.3173952,2.6107364,2.5227339,2.4053974,2.2880609,2.3760633,20.6512165,21.2085648,21.5899086,22.1765919,23.0272808,24.1126423,23.8486366,23.8779697,24.1713104,24.7873268,25.3153419,64.8577271,64.6523895,64.447052,64.3003845,64.505722,63.2443542,63.3910255,63.2736855,63.1856842,62.6576691,62.4816666,5.8668232,5.544148,5.4268112,5.0161338,3.7547667,3.1974187,3.0214138,3.1974187,3.1094162,3.1387503,2.6987386
"3","EMMAOR_FLAGC1-03",1.6133764,1.5253741,1.4960399,1.7307128,2.5814021,2.9334116,2.8160751,2.6694045,2.5227339,2.6400704,21.1792316,21.7072449,22.3525963,22.9686127,24.2299786,25.8140221,25.5500145,25.6086826,25.8140221,26.4593716,27.0460548,64.3590469,64.1537094,63.8603706,63.7430344,63.6550293,62.1003227,62.1296577,61.8656502,61.9536514,61.3083,60.9856262,6.3948374,6.1014962,5.8374891,5.3681431,3.9601057,3.0800822,2.9627457,3.2854209,3.1387503,3.2854209,2.9040775
"4","EMMAOR_FLAGC1-04",1.2026987,1.1146964,1.0853623,1.290701,2.1120563,2.3173952,2.2293928,2.0827222,1.9653858,1.9947199,18.216486,18.7738342,19.4191837,19.8885307,21.765913,23.4672928,23.3206215,23.4672928,23.4672928,23.8193016,24.5526543,68.9938431,69.0818405,68.8178329,69.1698456,69.0231705,68.2604904,68.4071579,68.1138153,68.4071579,67.9964828,67.4391327,8.8295689,8.2428865,7.9495454,7.1575241,5.2214727,3.4614255,3.2560868,3.4907598,3.3440893,3.5200939,3.314755
"5","EMMAOR_FLAGC1-05",1.4667058,1.3787035,1.3493693,1.6133764,2.5227339,2.7280726,2.5814021,2.4640658,2.3467293,2.4053974,20.8565559,20.9738922,21.4139042,21.5312405,22.9392776,24.2593136,23.9366379,23.8193016,23.8486366,24.2886486,24.5233212,66.3244324,66.70578,66.676445,67.4391327,67.4097977,67.2337952,67.5564651,67.8204727,68.1724854,67.6444702,67.6444702,7.8615432,7.3628631,7.0401878,6.1894984,4.5467877,2.4933999,2.2880609,2.2880609,2.0240541,2.2293928,1.9360516
"6","EMMAOR_FLAGC1-06",1.4667058,1.3787035,1.3787035,1.5840422,2.6694045,2.9040775,2.6987386,2.4933999,2.3173952,2.3467293,19.7711945,20.0352001,20.6218834,20.8565559,22.9099445,23.7606335,23.5259609,23.6139622,23.4672928,23.7313004,24.0833092,67.3511276,67.7031403,67.8204727,68.7005005,68.4364929,68.9645081,69.1405106,69.3458481,69.9325333,69.6978607,69.5218506,9.1815786,8.5362272,7.9202113,6.8055148,4.8107948,2.3467293,2.1707246,2.0827222,1.8480493,1.9947199,1.789381
"7","EMMAOR_FLAGC1-07",1.9653858,1.8773834,1.8480493,2.1413903,3.8427691,4.0481081,3.7547667,3.4907598,3.2267528,3.2560868,26.6060429,26.7820473,26.8993835,26.7527142,28.454092,28.9234371,28.483427,28.2194195,28.0434151,28.0727482,28.0727482,60.4576111,60.6922836,61.2789688,62.3349953,61.9243164,62.276329,62.6870041,63.3323555,64.065712,64.1830444,64.3590469,7.9495454,7.4801993,6.8641829,5.9841595,4.4001174,1.8773834,1.7013787,1.6133764,1.3200352,1.4373716,1.2320329
"8","EMMAOR_FLAGC1-08",2.0240541,1.9360516,1.9653858,2.2880609,4.018774,4.2827806,3.9601057,3.6960986,3.4614255,3.549428,25.2860069,25.5500145,26.1073627,25.7553539,27.9554119,28.3954239,27.9554119,27.6914043,27.4567318,27.6034031,27.7794075,63.6256981,63.7723656,63.7723656,64.6817245,63.5963631,62.8923454,63.2443542,63.9190369,64.5350571,64.476387,64.3590469,6.0721622,5.573482,5.104136,4.5174537,3.0800822,1.6133764,1.4373716,1.3493693,1.2320329,1.3787035,1.2320329
"9","EMMAOR_FLAGC1-09",1.5547081,1.4960399,1.5547081,1.760047,3.5787621,3.8721032,3.6080961,3.4907598,3.2854209,3.2854209,23.3206215,23.7899685,24.464653,24.0539742,26.8700504,27.3393955,26.8113823,26.5180397,26.1953659,26.5473747,26.7527142,66.64711,66.5591049,66.5884399,67.3511276,65.6497498,64.3297119,64.6817245,65.3564072,65.9430923,65.6204147,65.6204147,5.5148139,4.9867997,4.3414493,3.9307716,2.6107364,1.6427104,1.5253741,1.4080375,1.261367,1.4373716,1.2320329
"10","EMMAOR_FLAGC1-10",1.6720446,1.5253741,1.5840422,1.8187152,3.3734233,3.7547667,3.5200939,3.4907598,3.4320915,3.4907598,23.3206215,23.7899685,24.8459949,24.6993256,27.7207394,28.6007633,28.01408,27.6620712,27.3393955,27.6034031,27.6914043,66.9404526,66.8524475,66.617775,67.0871201,65.1510696,63.0096817,63.4203568,63.9777069,64.505722,64.3003845,64.388382,5.573482,4.9574656,4.2827806,3.9014373,2.5814021,2.2880609,2.0827222,2.1120563,1.9360516,1.9360516,1.7013787
