"","POINT_ID","sci12_010_1km","sci13_010_1km","sci14_010_1km","sci15_010_1km","sci16_010_1km","sci17_010_1km","sci18_010_1km","sci19_010_1km","sci20_010_1km","sci21_010_1km","sci11_1040_1km","sci12_1040_1km","sci13_1040_1km","sci14_1040_1km","sci15_1040_1km","sci16_1040_1km","sci17_1040_1km","sci18_1040_1km","sci19_1040_1km","sci20_1040_1km","sci21_1040_1km","sci11_4070_1km","sci12_4070_1km","sci13_4070_1km","sci14_4070_1km","sci15_4070_1km","sci16_4070_1km","sci17_4070_1km","sci18_4070_1km","sci19_4070_1km","sci20_4070_1km","sci21_4070_1km","sci11_GT70_1km","sci12_GT70_1km","sci13_GT70_1km","sci14_GT70_1km","sci15_GT70_1km","sci16_GT70_1km","sci17_GT70_1km","sci18_GT70_1km","sci19_GT70_1km","sci20_GT70_1km","sci21_GT70_1km"
"1","EMPAID_BR10",0.264007,0.3226753,0.3226753,0.3520094,0.5866823,0.7040188,0.7920211,0.7920211,0.9973599,1.1146964,36.4036369,36.1982994,36.3743019,36.0516281,36.2569656,39.2783813,39.3370476,38.8677025,38.662365,38.0463486,37.9583473,48.9586372,49.0759735,48.899971,49.1346436,48.9586372,46.3185692,46.1718979,46.5239067,46.699913,47.1399231,46.9932518,1.8187152,1.8773834,1.8187152,1.9067175,1.8480493,1.2320329,1.2026987,1.2320329,1.261367,1.2320329,1.3493693
"2","EMPAID_BR08",0.5280141,0.7333529,0.762687,0.8213552,1.0560281,1.1733646,1.261367,1.3787035,1.5547081,1.789381,35.523613,34.9956017,34.8195953,34.4382515,34.2035789,36.8143158,36.6969795,36.2276344,35.552948,35.1716042,34.8489304,49.2813148,49.7213249,49.6333237,49.80933,49.8679962,47.3159294,47.4039307,47.9319458,48.1079483,48.2839546,48.0786171,0.9973599,1.0560281,1.1146964,1.290701,1.4080375,1.1146964,1.0266941,0.8800235,1.261367,1.290701,1.5840422
"3","EMPAID_BR09",0.4106776,0.4693458,0.4693458,0.5280141,0.762687,0.9093576,0.9973599,0.9680258,1.1733646,1.3200352,35.4062767,35.0249329,35.0249329,34.8195953,34.7902603,37.4303322,37.5183334,36.902317,36.5503082,36.1102982,35.8756218,50.220005,50.5426826,50.5133476,50.6600189,50.6013489,48.1666183,48.0492821,48.6066284,48.841301,49.1053085,49.0466423,1.7013787,1.760047,1.7307128,1.789381,1.8187152,1.3787035,1.261367,1.2320329,1.3787035,1.3493693,1.4960399
"4","EMPAID_CU01",0.0880023,0.1173365,0.1466706,0.1760047,0.3226753,0.264007,0.3226753,0.4693458,0.5866823,0.7333529,31.0354939,30.8301563,30.9474926,30.8594894,30.9768257,33.6168976,33.7635689,33.7342339,33.7048988,32.9128761,33.0302124,46.611908,46.670578,46.5532417,46.5825768,46.699913,45.8492241,46.0838966,46.5825768,46.7292442,47.7852745,47.7852745,8.3602228,8.4775591,8.448225,8.4775591,8.2135525,6.2775006,5.9548254,5.4268112,5.1628041,4.7814608,4.5174537
"5","EMPAID_CU10",0.0880023,0.1760047,0.1760047,0.1760047,0.2346729,0.2933412,0.264007,0.3226753,0.3520094,0.3226753,12.2323265,16.9257851,24.2299786,23.8486366,23.8779697,23.1446171,23.2619534,22.645937,22.0885887,21.6192436,21.2672329,47.6386032,53.7107658,47.4626007,48.0199471,48.0492821,49.779995,50.1320038,51.129364,52.2440605,53.1240845,53.9454384,25.5500145,14.7550602,13.6110296,13.4350252,13.3763571,12.3203287,11.7923145,11.4403048,10.8242884,10.3842773,9.9442654
"6","EMPAID_CU02",0.1173365,0.1466706,0.1760047,0.2053388,0.4400117,0.4106776,0.4693458,0.5280141,0.7040188,0.8800235,28.454092,28.2780876,28.2487526,28.0727482,28.3367558,31.4168377,31.6221771,31.5928421,31.7101784,31.1528301,31.1528301,46.7585793,46.7879143,46.8465843,47.1399231,47.1985931,46.7879143,47.0519218,47.6972733,47.8732758,48.6359634,48.6359634,12.6136694,12.7310066,12.6723375,12.5256672,12.1736584,9.2695808,8.8295689,8.1548843,7.8028746,7.4215312,7.2455263
"7","EMPAID_CU03",0.1173365,0.1466706,0.1760047,0.2053388,0.3520094,0.3226753,0.4106776,0.4106776,0.5866823,0.762687,26.8407154,26.7233791,26.7233791,26.4593716,26.694046,29.9207973,30.3021412,30.2434731,30.3021412,29.9501324,29.7154598,47.6386032,47.6092682,47.6092682,48.0492821,48.0786171,47.8732758,48.1079483,48.7532997,49.1053085,49.6919899,49.9853325,14.9603987,15.0777349,15.0484009,14.8430624,14.5497217,11.3816366,10.7949543,10.1202698,9.7095919,9.2989149,9.0642414
"8","EMPAID_CU04",0.0880023,0.0880023,0.0880023,0.1760047,0.1760047,0.2053388,0.2053388,0.264007,0.3813435,0.4400117,24.5526543,24.435318,24.5819893,24.4059849,24.5233212,27.5153999,27.6914043,27.8087406,27.8087406,27.5153999,27.3100624,48.6946335,48.6946335,48.6359634,49.1639786,49.2813148,49.1346436,49.5746536,49.8973312,50.0733337,50.6306839,51.070694,15.9577589,16.0457611,15.9577589,15.6057491,15.2830744,12.437665,11.7923145,11.3523026,11.11763,10.7362862,10.4429455
"9","EMPAID_CU05",0.0293341,0.0293341,0.0293341,0.0586682,0.0880023,0.1173365,0.1173365,0.1760047,0.2053388,0.264007,17.9524784,18.2751541,19.4778519,19.6245232,19.8885307,21.795248,22.0005875,22.1472569,21.8245811,21.7072449,21.6779118,44.7931938,46.4652405,45.4972115,45.9665604,46.0252266,47.3745956,47.9612808,48.2252846,49.1053085,49.6333237,49.80933,25.6380177,23.6432972,23.4086246,22.7926083,22.4405975,19.1551781,18.3338223,17.9231453,17.3071289,16.8671169,16.6617775
"10","EMPAID_CU06",0.0293341,0.0293341,0.0293341,0.0586682,0.1173365,0.1173365,0.1173365,0.1760047,0.2053388,0.2346729,15.9284248,16.9844532,18.7151661,18.9205036,19.0085068,20.445879,20.6218834,20.7098846,20.445879,20.3285427,20.2992077,43.3558235,44.7931938,43.6784973,44.2358475,44.5291862,46.3185692,46.9639206,47.4332657,48.2546196,48.841301,49.0759735,28.9527721,26.4593716,25.8433552,25.0806694,24.6699905,21.3845711,20.5632153,20.005867,19.3898506,18.8911705,18.656498
