"","POINT_ID","Ha211_1000","Ha212_1000","Ha213_1000","Ha214_1000","Ha215_1000","Ha216_1000","Ha217_1000","Ha218_1000","Ha219_1000","Ha220_1000","Ha221_1000","Bu211_1000","Bu212_1000","Bu213_1000","Bu214_1000","Bu215_1000","Bu216_1000","Bu217_1000","Bu218_1000","Bu219_1000","Bu220_1000","Bu221_1000","X1shdi211","X1shdi212","X1shdi213","X1shdi214","X1shdi215","X1shdi216","X1shdi217","X1shdi218","X1shdi219","X1shdi220","X1shdi221"
"1","EMFWOR_LILT1-05",0,0,0,0,0,6.74685,6.74685,63.1562996,65.796402,77.7061005,77.7061005,0,0,0,0,0,0,0,0,1.40804,4.1361098,74.0686035,0,0,0,0,0,0,0,0.339936,0.494688,0.847659,0.847659
"2","EMFWOR_LILT1-06",0,0,0,0,0,11.6162996,11.6162996,60.5456009,63.743,78.2048035,78.2048035,0,0,0,0,0,0,0,0,4.04811,7.4801998,74.5672989,0,0,0,0,0,0,0,0.489043,0.663558,1.01993,1.01993
"3","EMFWOR_LILT1-07",0,0,0,0,0,16.6030998,16.6030998,59.6362991,62.8042984,77.9993973,77.9993973,0,0,0,0,0,0,0,0,2.2587299,4.6641202,74.3619995,0,0,0,0,0,0,0,0.591572,0.761606,1.1066099,1.1066099
"4","EMFWOR_LILT1-08",0,0,0,0,0,16.2803993,16.2803993,50.0439987,54.7961006,67.6737976,67.7618027,0,0,0,0,0,0,0,0,5.3094702,8.1548796,66.5003967,0,0,0,0,0,0,0,0.630956,0.871208,1.19232,1.2007
"5","EMFWOR_LILT1-09",0,0,0,0,0,15.4590998,15.4590998,38.4570007,46.7291985,57.5535011,60.4869003,0,0,0,0,0,0,0,0,9.7975998,15.6938,60.4869003,0,0,0,0,0,0,0,0.673808,1.0213799,1.3127,1.4431
"6","EMFWOR_LILT1-10",0,0,0,0,0,13.0830002,13.0830002,23.4965992,36.6383018,47.4626007,51.8627014,0,0,0,0,0,0,0,0,15.2243996,22.1179008,51.8627014,0,0,0,0,0,0,0,0.68668,1.09304,1.38068,1.55398
"7","EMFWOR_LILT1-01",0,0,0,0,0,0,0,65.6496964,65.6791,71.8979034,71.8979034,0,0,0,0,0,0,0,0,0,0.0880023,65.6791,0,0,0,0,0,0,0,0,0.0038917,0.297908,0.297908
"8","EMFWOR_LILT1-02",0,0,0,0,0,0.0293341,0.0293341,61.3670006,61.3670006,67.4097977,67.4097977,0,0,0,0,0,0,0,0,0,0,62.5110016,0,0,0,0,0,0,0,0.0041345,0.0041345,0.306481,0.306481
"9","EMFWOR_LILT1-03",0,0,0,0,0,1.55471,1.55471,65.825798,68.3778,74.156601,74.156601,0,0,0,0,0,0,0,0,0.117336,2.75741,70.5192032,0,0,0,0,0,0,0,0.111845,0.267062,0.520799,0.520799
"10","EMFWOR_LILT1-04",0,0,0,0,0,2.5520699,2.5520699,62.1883011,65.5030975,76.3566971,76.3566971,0,0,0,0,0,0,0,0,2.8454101,6.2481699,72.7192993,0,0,0,0,0,0,0,0.171289,0.362975,0.720767,0.720767
