"","POINT_ID","Ha211_1000","Ha212_1000","Ha213_1000","Ha214_1000","Ha215_1000","Ha216_1000","Ha217_1000","Ha218_1000","Ha219_1000","Ha220_1000","Ha221_1000","Bu211_1000","Bu212_1000","Bu213_1000","Bu214_1000","Bu215_1000","Bu216_1000","Bu217_1000","Bu218_1000","Bu219_1000","Bu220_1000","Bu221_1000","X1shdi211","X1shdi212","X1shdi213","X1shdi214","X1shdi215","X1shdi216","X1shdi217","X1shdi218","X1shdi219","X1shdi220","X1shdi221"
"1","EMMAOR_FLAGC1-01",0,0,0,0,0,0,0,12.8483,12.8483,12.8483,12.8483,0,0,0,0,0,0,0,0,0,3.66676,12.8483,0,0,0,0,0,0,0,0,0,0,0
"2","EMMAOR_FLAGC1-02",0,0,0,0,0,0,0,9.4749203,9.4749203,9.4749203,9.4749203,0,0,0,0,0,0,0,0,0,0.821355,9.4749203,0,0,0,0,0,0,0,0,0,0,0
"3","EMMAOR_FLAGC1-03",0,0,0,0,0,0,0,6.5415101,6.5415101,6.5415101,6.5415101,0,0,0,0,0,0,0,0,0,0,6.5415101,0,0,0,0,0,0,0,0,0,0,0
"4","EMMAOR_FLAGC1-04",0,0,0,0,0,0,0,3.1094201,3.1094201,3.1094201,3.1094201,0,0,0,0,0,0,0,0,0,0,1.81872,0,0,0,0,0,0,0,0,0,0,0
"5","EMMAOR_FLAGC1-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","EMMAOR_FLAGC1-06",0,0,0,0,0,0,0,1.17336,1.17336,1.17336,1.17336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","EMMAOR_FLAGC1-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","EMMAOR_FLAGC1-08",0,0,0,0,0,0,0,0.557348,0.586682,0.586682,0.586682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198515,0.198515,0.198515
"9","EMMAOR_FLAGC1-09",0,0,0,0,0,0,0,1.7600501,5.9254899,5.9254899,5.9254899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608327,0.608327,0.608327
"10","EMMAOR_FLAGC1-10",0,0,0,0,0,0,0,2.7867401,9.5335903,9.5335903,9.5335903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604205,0.604205,0.604205
"11","EMMAOR_DUGC1-01",0,0,0,0,0,0,0,0,4.04811,4.04811,30.8595009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388621
"12","EMMAOR_DUGC1-02",0.645351,0.645351,0.645351,0.645351,0.645351,0.645351,0.645351,0.645351,3.31475,3.31475,30.2728004,0.645351,0.645351,0.645351,0.645351,0.645351,0.645351,0.645351,0.645351,0.645351,0.645351,0.645351,0,0,0,0,0,0,0,0,0.492953,0.492953,0.399437
"13","EMMAOR_DUGC1-03",5.33881,5.33881,5.33881,5.33881,5.33881,5.33881,5.33881,5.33881,5.33881,5.33881,32.5901985,5.33881,5.33881,5.33881,5.33881,5.33881,5.33881,5.33881,5.33881,5.33881,5.33881,5.33881,0,0,0,0,0,0,0,0,0,0,0.445944
"14","EMMAOR_DUGC1-04",9.3282499,9.3282499,9.3282499,9.3282499,9.3282499,9.3282499,9.3282499,9.3282499,9.3282499,9.3282499,34.1156006,9.38692,9.38692,9.44559,9.44559,9.44559,9.44559,9.44559,9.44559,9.44559,9.44559,9.44559,0,0,0,0,0,0,0,0,0,0,0.586641
"15","EMMAOR_DUGC1-05",12.0563002,12.0563002,12.0563002,12.0563002,12.0563002,12.0563002,12.0563002,12.0563002,12.0563002,12.0563002,31.9449005,11.3522997,11.3522997,12.1737003,12.1737003,12.1737003,12.1737003,12.1737003,12.1737003,12.1737003,12.1737003,12.1737003,0.208775,0.208775,0.208775,0.208775,0.208775,0.208775,0.208775,0.208775,0.208775,0.208775,0.741576
"16","EMMAOR_DUGC1-06",23.3206005,23.3206005,23.3206005,23.3206005,23.3206005,23.3206005,23.3206005,23.3206005,23.3206005,23.3206005,40.2756996,20.5632,20.5632,23.4673004,23.4673004,23.4673004,23.4673004,23.4673004,23.4673004,23.4673004,23.4673004,23.4673004,0.628377,0.628377,0.628377,0.628377,0.628377,0.628377,0.628377,0.628377,0.628377,0.628377,1.04445
"17","EMMAOR_DUGC1-07",25.4326992,25.4326992,25.4326992,25.4326992,25.4326992,25.4326992,25.4326992,25.4326992,25.4326992,25.4326992,35.9636002,20.6805992,20.6805992,25.5499992,25.5499992,25.5499992,25.5499992,25.5499992,25.5499992,25.5499992,25.5499992,25.5499992,0.622949,0.622949,0.622949,0.622949,0.622949,0.622949,0.622949,0.622949,0.622949,0.622949,1.04519
"18","EMMAOR_DUGC1-08",22.0886002,22.0886002,22.0886002,22.0886002,22.0886002,22.0886002,22.0886002,22.0886002,22.0886002,22.0886002,27.3393993,15.6938,15.6938,22.2059002,22.2059002,22.2059002,22.2059002,22.2059002,22.2059002,22.2059002,22.2059002,22.2059002,0.617573,0.617573,0.617573,0.617573,0.617573,0.617573,0.617573,0.617573,0.617573,0.617573,0.988158
"19","EMMAOR_DUGC1-09",8.9469099,8.9469099,8.9469099,8.9469099,8.9469099,8.9469099,8.9469099,8.9469099,8.9469099,8.9469099,15.7818003,5.8081598,5.8081598,9.0642405,9.0642405,9.0642405,9.0642405,9.0642405,9.0642405,9.0642405,9.0642405,9.0642405,0.275555,0.275555,0.275555,0.275555,0.275555,0.275555,0.275555,0.275555,0.275555,0.275555,0.840381
"20","EMMAOR_DUGC1-10",0.99736,0.99736,0.99736,0.99736,0.99736,0.99736,0.99736,0.99736,0.99736,0.99736,8.0668802,0.850689,0.850689,1.1147,1.1147,1.1147,1.1147,1.1147,1.1147,1.1147,1.1147,1.1147,0,0,0,0,0,0,0,0,0,0,0.374108
"21","EMMAOR_ELKT2-01",0,0,0,0,0,0,0,0,59.3428993,63.8017006,63.8017006,0,0,0,0,0,0,0,0,0,0,56.5854988,0,0,0,0,0,0,0,0,0,0.253342,0.253342
"22","EMMAOR_ELKT2-02",0,0,0,0,0,0,0,0,54.7667999,55.8227997,55.8227997,0,0,0,0,0,0,0,0,0,0,53.4174004,0,0,0,0,0,0,0,0,0,0.0937958,0.0937958
"23","EMMAOR_ELKT2-03",0,0,0,0,0,0,0,0,48.8120003,48.841301,48.841301,0,0,0,0,0,0,0,0,0,0,48.8120003,0,0,0,0,0,0,0,0,0,0.0050554,0.0050554
"24","EMMAOR_FLAGC2-01",77.5007019,77.5007019,77.5007019,77.5007019,77.5007019,77.5007019,77.5007019,77.5007019,77.5007019,77.5007019,77.5007019,71.3405991,71.3405991,76.3860016,76.3860016,76.3860016,76.3860016,76.3860016,76.3860016,76.3860016,76.3860016,76.3860016,0.315094,0.315094,0.315094,0.315094,0.315094,0.315094,0.315094,0.315094,0.315094,0.315094,0.315094
"25","EMMAOR_FLAGC2-02",81.3142014,81.3142014,81.3142014,81.3142014,81.3142014,81.3142014,81.3142014,81.3142014,81.3142014,81.3142014,81.3142014,78.0287018,78.0287018,81.3142014,81.3142014,81.3142014,81.3142014,81.3142014,81.3142014,81.3142014,81.3142014,81.3142014,0.254461,0.254461,0.254461,0.254461,0.254461,0.254461,0.254461,0.254461,0.254461,0.254461,0.254461
"26","EMMAOR_CUBT1-01",1.46671,1.46671,1.46671,12.3203001,31.4167995,31.4167995,31.4167995,31.4167995,31.4167995,31.4167995,31.4167995,65.444397,65.444397,65.444397,65.444397,65.444397,68.6417999,68.6417999,68.6417999,68.6417999,68.6417999,68.6417999,0,0,0,0.365023,0.81232,0.81232,0.81232,0.81232,0.81232,0.81232,0.81232
"27","EMMAOR_CUBT1-02",1.46671,1.46671,1.46671,11.8802996,33.7929001,33.7929001,33.7929001,33.7929001,33.7929001,33.7929001,33.7929001,83.5141983,83.5141983,83.5141983,83.5141983,83.5141983,86.2715988,86.2715988,86.2715988,86.2715988,86.2715988,86.2715988,0,0,0,0.373756,0.77916,0.77916,0.77916,0.77916,0.77916,0.77916,0.77916
"28","EMMAOR_CUBT1-03",3.5494299,3.5494299,3.5494299,14.9017,42.3291016,42.3291016,42.3291016,42.3291016,42.3291016,42.3291016,42.3291016,83.7781982,83.7781982,83.7781982,83.7781982,83.7781982,86.9757004,86.9757004,86.9757004,86.9757004,86.9757004,86.9757004,0,0,0,0.548983,0.841357,0.841357,0.841357,0.841357,0.841357,0.841357,0.841357
"29","EMMAOR_CUBT1-04",4.8107901,4.8107901,4.8107901,16.9550991,44.9692001,44.9692001,44.9692001,44.9692001,44.9692001,44.9692001,44.9692001,84.4529037,84.4529037,84.4529037,84.4529037,84.4529037,87.5623016,87.5623016,87.5623016,87.5623016,87.5623016,87.5623016,0,0,0,0.596448,0.886933,0.886933,0.886933,0.886933,0.886933,0.886933,0.886933
"30","EMMAOR_CUBT1-05",4.7814598,4.7814598,4.7814598,17.7765007,45.4091988,45.4091988,45.4091988,45.4091988,45.4091988,45.4091988,45.4091988,84.3356018,84.3356018,84.3356018,84.3356018,84.3356018,86.9757004,86.9757004,86.9757004,86.9757004,86.9757004,86.9757004,0,0,0,0.582239,0.896845,0.896845,0.896845,0.896845,0.896845,0.896845,0.896845
"31","EMMAOR_CUBT1-06",3.02141,3.02141,3.02141,21.4431992,43.0331001,43.0331001,43.0331001,43.0331001,43.0331001,43.0331001,43.0331001,84.4235992,84.4235992,84.4235992,84.4235992,84.4235992,86.2715988,86.2715988,86.2715988,86.2715988,86.2715988,86.2715988,0,0,0,0.406599,0.895748,0.895748,0.895748,0.895748,0.895748,0.895748,0.895748
"32","EMMAOR_CUBT1-07",8.7122297,8.7122297,8.7122297,24.0245991,45.3799019,45.3799019,45.3799019,45.3799019,45.3799019,45.3799019,45.3799019,97.2133026,97.2133026,97.2133026,97.2133026,97.2133026,97.9758987,97.9758987,97.9758987,97.9758987,97.9758987,97.9758987,0,0,0,0.654921,1.0381401,1.0381401,1.0381401,1.0381401,1.0381401,1.0381401,1.0381401
"33","EMMAOR_CUBT1-08",9.3282499,9.3282499,9.3282499,14.6963997,36.4622993,36.4622993,36.8437004,36.8437004,36.8437004,36.8437004,36.8437004,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0.65639,0.938794,0.938794,0.988756,0.988756,0.988756,0.988756,0.988756
"34","EMMAOR_CUBT1-09",10.0323,10.0323,10.0323,13.4644003,36.2863007,36.2863007,36.6383018,36.6383018,36.6383018,36.6383018,36.6383018,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0.567657,0.868616,0.868616,0.914461,0.914461,0.914461,0.914461,0.914461
"35","EMMAOR_CUBT1-10",10.0029001,10.0029001,10.0029001,14.0216999,41.0383987,41.0383987,41.0383987,41.0383987,41.0383987,41.0383987,41.0383987,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0.599089,0.845466,0.845466,0.845466,0.845466,0.845466,0.845466,0.845466
"36","EMMAOR_CUBT2-01",17.219101,17.219101,17.219101,27.2220993,34.6436005,34.6436005,37.1077003,37.1077003,37.1077003,37.1077003,37.1077003,56.3801994,56.3801994,56.3801994,56.3801994,56.3801994,56.3801994,56.3801994,56.3801994,56.3801994,56.3801994,56.3801994,0,0,0,0.657588,1.03622,1.03622,1.21164,1.21164,1.21164,1.21164,1.21164
"37","EMMAOR_CUBT2-02",20.3579006,20.3579006,20.3579006,30.2140999,40.0997009,40.0997009,43.8251991,43.8251991,43.8251991,43.8251991,43.8251991,66.441803,66.441803,66.441803,66.441803,66.441803,66.441803,66.441803,66.6177979,66.6177979,66.6177979,66.6177979,0,0,0,0.631465,1.0342799,1.0342799,1.23719,1.23719,1.23719,1.23719,1.23719
"38","EMMAOR_CUBT2-03",21.6191998,21.6191998,21.6191998,29.1287994,40.8037987,40.8037987,49.8386993,49.8386993,49.8386993,49.8386993,49.8386993,66.6763992,66.6763992,66.6763992,66.6763992,66.6763992,66.7645035,66.7645035,71.3699036,71.3699036,71.3699036,71.3699036,0,0,0,0.570748,1.00609,1.00609,1.29704,1.29704,1.29704,1.29704,1.29704
"39","EMMAOR_ELKT2-04",0,0,0,0,0,0,0,0,43.4438019,43.5317993,43.5317993,0,0,0,0,0,0,0,0,0,0,43.6785011,0,0,0,0,0,0,0,0,0,0.0145611,0.0145611
"40","EMMAOR_ELKT2-05",0,0,0,0,0,0,0,0,51.4519997,51.4519997,51.4519997,0,0,0,0,0,0,0,0,0,0,51.1879997,0,0,0,0,0,0,0,0,0,0,0
"41","EMMAOR_ELKT2-06",0,0,0,0,0,0,0,0,53.6520996,53.6520996,53.6520996,0,0,0,0,0,0,0,0,0,0,53.3880997,0,0,0,0,0,0,0,0,0,0,0
"42","EMMAOR_ELKT2-07",0,0,0,0,0,0,0,0,42.8278008,42.8278008,42.8278008,0,0,0,0,0,0,0,0,0,0,41.8303986,0,0,0,0,0,0,0,0,0,0,0
"43","EMMAOR_ELKT2-08",0,0,0,0,0,0,0,0,28.3073997,28.3073997,28.3073997,0,0,0,0,0,0,0,0,0,0,25.6674004,0,0,0,0,0,0,0,0,0,0,0
"44","EMMAOR_ELKT2-09",0,0,0,0,0,0,0,0,27.4860992,27.4860992,27.4860992,0,0,0,0,0,0,0,0,0,0,22.9979,0,0,0,0,0,0,0,0,0,0,0
"45","EMMAOR_ELKT2-10",0,0,0,0,0,0,0,0,29.5394993,29.5394993,29.5394993,0,0,0,0,0,0,0,0,0,0,23.7900009,0,0,0,0,0,0,0,0,0,0,0
"46","EMMAOR_ELKT3-01",13.2297001,13.2297001,20.0352001,20.0352001,20.0352001,20.0352001,20.0352001,24.4353008,32.6781998,75.4766998,75.4766998,14.5496998,20.4459,25.9606991,25.9606991,25.9606991,25.9606991,29.1874008,29.1874008,29.1874008,41.1851006,41.1851006,0.687233,0.687233,1.09462,1.09462,1.09462,1.09462,1.09462,1.36901,1.58847,1.16618,1.16618
"47","EMMAOR_ELKT3-02",8.03755,8.03755,14.8430996,14.8430996,14.8430996,14.8430996,14.8430996,21.7658997,30.0674992,75.9754028,75.9754028,13.875,15.1364002,18.0111008,18.0111008,18.0111008,18.0111008,19.6539001,19.6539001,19.6539001,33.176899,33.176899,0.434551,0.434551,0.925009,0.925009,0.925009,0.925009,0.925009,1.2562,1.4986,1.05474,1.05474
"48","EMMAOR_ELKT3-03",6.42417,6.42417,13.2297001,13.2297001,13.2297001,13.2297001,13.2297001,19.3017998,26.9874001,68.5538025,68.5538025,25.4032993,26.5767002,30.4195004,30.4195004,30.4195004,30.4195004,33.0889015,33.0889015,33.0889015,45.2038994,45.2038994,0.475386,0.475386,0.923573,0.923573,0.923573,0.923573,0.923573,1.2557499,1.49555,1.03474,1.03474
"49","EMMAOR_ELKT3-04",4.37078,4.37078,9.8562603,9.8562603,9.8562603,9.8562603,9.8562603,18.8911991,26.4887009,68.5538025,68.5538025,20.2112007,20.2112007,21.5018997,21.5018997,21.5018997,21.5018997,22.2353001,22.2353001,22.2353001,37.1663017,37.1663017,0.209244,0.209244,0.779528,0.779528,0.779528,0.779528,0.779528,1.09891,1.383,0.979565,0.979565
