ID,sci11_1040_1km,sci12_1040_1km,sci13_1040_1km,sci14_1040_1km,sci15_1040_1km,sci16_1040_1km,sci17_1040_1km,sci18_1040_1km,sci19_1040_1km,sci20_1040_1km,sci21_1040_1km,Thin0211,Thin0212,Thin0213,Thin0214,Thin0215,Thin0216,Thin0217,Thin0218,Thin0219,Thin0220,Thin0221,Thin0222,Thin0223
LKV-0001,18.8618355,19.7125263,19.9178638,20.2405396,20.6218834,18.656498,16.1924324,17.336462,18.1578178,18.4218254,18.3044872,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0002,12.7310066,12.9656792,12.9950132,13.3763571,13.6990318,13.9923735,12.437665,12.9950132,13.1123495,13.2296858,13.2003517,0.8213552,0.8213552,0.8213552,0.8213552,0.8213552,0.8213552,0.8213552,0.8213552,0.8213552,0.8213552,0.8213552,0.8213552,0.8213552
LKV-0003,10.3549423,11.0002937,11.1762981,11.4109707,11.557642,11.8509827,11.3816366,11.6456442,11.7923145,11.7923145,11.8216486,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047
LKV-0004,8.5362272,8.8295689,9.0349073,9.2109127,9.2402468,8.2135525,8.1255503,8.1842184,8.1548843,8.008214,8.0668821,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0005,4.018774,4.3121152,4.4001174,4.6054564,4.6054564,3.9014373,3.9014373,3.784101,3.7547667,3.7254326,3.8134351,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0006,36.0809631,36.7556458,37.577003499999996,38.3690224,38.5156937,39.5130539,39.5423889,39.7770615,39.982399,40.2464066,40.6570854,25.2273388,25.2273388,25.2273388,25.2273388,25.2273388,25.2273388,25.2273388,25.2273388,25.2273388,25.2273388,25.2273388,25.2273388,25.2273388
LKV-0007,19.6538582,19.8298626,20.0645351,20.1525383,20.0938683,20.005867,19.976532,20.0645351,20.3285427,20.416544,20.416544,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0008,19.2431793,19.976532,20.3285427,21.3259029,21.8539162,21.3552361,21.4139042,21.3552361,21.4139042,21.3845711,21.2672329,2.9627457,2.9627457,2.9627457,2.9627457,2.9627457,2.9627457,2.9627457,2.9627457,2.9627457,2.9627457,2.9627457,2.9627457,2.9627457
LKV-0009,34.1155777,34.6142578,34.9662666,35.1422691,35.0542679,35.7582855,35.523613,35.3476105,35.523613,35.4356117,35.2596054,7.568202,7.568202,7.568202,7.568202,7.568202,7.568202,7.568202,7.568202,7.568202,7.568202,7.568202,7.568202,7.568202
LKV-0010,12.5550013,12.6723375,12.8190088,12.8483429,12.7896748,12.4963331,12.525667199999999,12.6136694,12.7896748,12.7603407,12.7310066,0,0,0,0,0,0,0,0,0,0,0,0,0
