ID,sci11_1040_1km,sci12_1040_1km,sci13_1040_1km,sci14_1040_1km,sci15_1040_1km,sci16_1040_1km,sci17_1040_1km,sci18_1040_1km,sci19_1040_1km,sci20_1040_1km,sci21_1040_1km,Thin0211,Thin0212,Thin0213,Thin0214,Thin0215,Thin0216,Thin0217,Thin0218,Thin0219,Thin0220,Thin0221,Thin0222,Thin0223
MAL-0001,26.5180397,26.6353779,26.6060429,26.5767078,26.8993835,29.5687885,30.3608093,30.1848049,30.1554699,30.5368137,30.8008213,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0002,32.003521,32.4728661,33.0888824,33.5288925,33.9982414,35.7876205,36.7263145,36.9316521,37.753006,38.6036949,39.3370476,0,0,0,0,0,0,0,0,0,0,0.7333529,0.7333529,0.7333529
MAL-0003,25.1100025,24.8459949,24.9926662,25.1100025,25.3446751,28.8354359,29.7447929,29.8034611,29.6861248,33.0888824,33.382225,0,0,0,0,0,0,0,0,0,0,8.6242304,8.6242304,8.6242304
MAL-0004,24.9633331,24.6113224,24.2886486,24.0539742,24.6113224,29.0701084,29.8621292,30.1554699,30.0968018,33.5582275,33.9689064,0,0,0,0,0,0,0,0,0,0,11.3229685,11.3229685,11.3229685
MAL-0005,25.1100025,24.8166618,24.8459949,24.6113224,24.5233212,29.0114403,29.0407753,29.3634491,29.1581116,31.2408333,30.9768257,0,0,0,1.8773834,1.8773834,1.8773834,1.8773834,1.8773834,1.8773834,1.8773834,13.5230274,13.5230274,13.5230274
MAL-0006,19.2725143,19.0085068,18.9791737,18.8911705,18.7151661,21.4725723,21.4432392,21.3552361,21.0325603,24.9926662,24.87533,0,0,0.3520094,3.4320915,3.4320915,3.4320915,3.4320915,3.4320915,3.4320915,3.4320915,19.3311825,19.3311825,19.3311825
MAL-0007,18.6858311,18.3924904,19.1845112,19.1845112,19.0671749,21.6192436,21.5605755,21.2965679,21.0325603,25.2566738,25.1393375,0,0,4.8107948,5.2508068,5.2508068,5.2508068,5.2508068,5.2508068,5.2508068,5.2508068,22.0299206,22.0299206,22.0299206
MAL-0008,47.4332657,46.670578,46.3185692,45.8785553,46.611908,50.8946915,52.6840706,53.1827507,53.7107658,54.0627747,54.0921097,0,0,2.8160751,2.8160751,2.8160751,2.8160751,2.8160751,2.8160751,2.8160751,2.8160751,2.8160751,2.8160751,2.8160751
MAL-0009,35.1129379,35.7876205,37.1076546,37.5183334,39.4250526,41.5371094,42.8571434,43.8545036,44.6171913,47.990612,51.4520378,0,0,0,0,0,0,0,0,0,0,23.3206215,23.3206215,23.3206215
MAL-0010,20.2698746,20.005867,20.7685547,20.7098846,21.5019073,25.8726902,27.104723,27.9260788,28.3660889,37.577003499999996,42.0651207,0,0,0,0,0,0,0,0,0,0,43.2678223,43.2678223,43.2678223
MAL-0011,6.3361688,6.5708418,7.098856,6.6881785,6.4828396,8.2428865,8.3308887,8.1548843,8.0668821,17.6591377,18.7444992,0,0,0,0,0,0,0,0,0,0,39.8943977,39.8943977,39.8943977
MAL-0012,4.5174537,4.7814608,6.4828396,5.7494864,5.0748019,5.573482,5.2801409,4.7521267,4.3121152,11.7336464,11.3816366,0,0,0.8213552,0.8213552,0.8213552,0.8213552,0.8213552,0.8213552,0.8213552,0.8213552,33.5875626,33.5875626,33.5875626
MAL-0013,5.1921387,4.9574656,5.3681431,5.4268112,5.2214727,6.5708418,6.3361688,6.0428276,5.8961573,18.5684948,18.3338223,0,0,10.5896158,17.1311226,17.1311226,17.1311226,17.1311226,17.1311226,17.1311226,17.1311226,64.7697296,64.7697296,64.7697296
MAL-0014,6.9815197,6.7761807,7.4801993,7.4508653,7.2455263,9.5922556,9.2695808,8.8002348,8.3602228,19.8591957,19.8005276,0,0,10.3549423,14.0803757,14.0803757,14.0803757,14.0803757,14.0803757,14.0803757,14.0803757,55.7054863,55.7054863,55.7054863
MAL-0015,23.2032852,23.3792896,23.3499565,22.8806095,22.7046051,28.9234371,28.8061008,27.3393955,26.6353779,29.5981236,28.9234371,0,0,9.8562632,9.8562632,9.8562632,9.8562632,9.8562632,9.8562632,9.8562632,9.8562632,21.2965679,21.2965679,21.2965679
MAL-0016,24.8166618,25.0220013,24.8459949,24.0833092,24.3179817,31.0061607,31.7688465,30.3608093,29.8621292,28.864769,28.3074207,0,0,4.8107948,4.8107948,4.8107948,4.8107948,4.8107948,4.8107948,4.8107948,4.8107948,5.8374891,5.8374891,5.8374891
MAL-0017,16.8671169,17.3951302,17.7178059,17.5711346,18.187151,22.0885887,22.7926083,22.3232613,21.9712524,21.4432392,21.5019073,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0018,7.098856,7.7148724,8.1255503,8.0668821,8.1548843,10.4429455,10.3549423,10.237606,9.9442654,9.6215897,9.4455853,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0019,6.2481666,6.0428276,5.7494864,5.2801409,4.6934586,6.7175126,6.3068347,5.9548254,5.3974771,5.3974771,4.8987975,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0020,33.9102364,34.672924,35.4649467,36.1689644,38.0463486,40.4224129,42.0064545,43.1798172,43.7958336,45.2038727,49.3986511,0,0,0,0,0,0,0,0,0,0,24.2886486,24.2886486,24.2886486
MAL-0021,20.1818714,20.6512165,21.1205635,21.2085648,22.0885887,26.4007034,27.7500725,28.7767677,29.1581116,32.4728661,38.1050148,0,0,0,0,0,0,0,0,0,0,39.6890602,39.6890602,39.6890602
MAL-0022,10.2962742,10.2669401,10.3256083,9.7389259,9.6215897,10.7069521,10.8536224,10.7069521,10.2669401,15.8404226,17.3951302,0,0,0,5.0748019,5.0748019,5.0748019,5.0748019,5.0748019,5.0748019,5.0748019,36.9316521,36.9316521,36.9316521
MAL-0023,8.3015547,8.5948963,9.4455853,8.5948963,8.0375481,8.8002348,8.1548843,7.6562042,6.7175126,14.1977119,16.3097687,0,0,3.2267528,3.2854209,3.2854209,3.2854209,3.2854209,3.2854209,3.2854209,4.8987975,44.9985352,44.9985352,44.9985352
MAL-0024,8.448225,8.008214,8.2428865,8.2135525,8.2428865,10.5896158,10.3256083,10.0322676,9.4455853,17.9231453,18.656498,0,0,17.5711346,19.1551781,19.1551781,19.1551781,19.1551781,19.1551781,20.3285427,21.9419193,64.8577271,64.8577271,64.8577271
MAL-0025,7.6268702,7.1868582,6.9815197,6.8641829,7.0401878,9.328249,9.2109127,9.0055733,8.3308887,16.1044292,15.9577589,0,0,9.6509237,9.797595,9.797595,9.797595,9.797595,9.797595,10.3842773,10.3842773,39.102375,39.102375,39.102375
MAL-0026,6.5121737,6.0428276,5.4561453,5.0454679,4.7521267,6.6001759,6.2775006,5.8961573,5.3974771,6.6001759,6.5121737,0,0,4.4587855,4.4587855,4.4587855,4.4587855,4.4587855,4.4587855,4.4587855,4.4587855,9.5922556,9.5922556,9.5922556
MAL-0027,8.5068932,8.2135525,7.6562042,6.9521852,6.6295099,7.6268702,7.2455263,6.5708418,6.1601644,5.8668232,5.6028161,0,0,3.9894397,3.9894397,3.9894397,3.9894397,3.9894397,3.9894397,3.9894397,3.9894397,5.7201524,5.7201524,5.7201524
MAL-0028,3.2267528,2.9627457,2.6107364,2.4640658,2.4347315,2.7574069,2.7280726,2.6107364,2.4053974,2.2293928,2.2000587,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0029,1.0853623,0.9680258,0.9093576,0.8506894,0.8213552,1.0853623,1.1146964,0.9093576,0.9680258,0.9973599,0.8800235,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0030,17.0724545,16.1630974,14.9017305,13.347023,12.2909946,12.3203287,11.7629805,10.8242884,9.768261,9.328249,8.3602228,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0031,33.7342339,34.3502502,34.5262527,34.8195953,35.582283,35.611618,36.1982994,36.1689644,36.4036369,36.6969795,36.902317,2.552068,6.2481666,6.2481666,6.2481666,6.2481666,6.2481666,6.2481666,6.2481666,6.2481666,6.2481666,6.9815197,6.9815197,9.357583
MAL-0032,17.6004696,17.5711346,17.7178059,17.776474,18.0991497,20.2405396,21.0325603,20.7685547,21.0032272,21.1792316,22.8512764,0.7920211,0.7920211,0.7920211,0.9386917,0.9386917,0.9386917,0.9386917,0.9386917,0.9386917,0.9386917,10.5896158,10.5896158,10.5896158
MAL-0033,7.6268702,7.4508653,7.4508653,7.2161922,7.1868582,8.5655613,8.8002348,8.5068932,8.5948963,14.227046,15.8697567,0,2.2880609,2.2880609,7.8615432,7.8615432,7.8615432,7.8615432,7.8615432,7.8615432,7.8615432,35.6409492,35.6409492,35.6409492
MAL-0034,8.2428865,8.2722206,7.8908772,7.5095334,7.568202,8.5655613,8.418891,8.5362272,8.2428865,17.4244652,19.9178638,0.8213552,1.290701,1.789381,5.8961573,5.8961573,5.8961573,5.8961573,5.8961573,5.8961573,7.5095334,45.6145515,45.6145515,45.6145515
MAL-0035,6.2481666,6.1308303,6.1601644,5.9548254,6.1014962,9.5042534,9.9735994,10.208272,9.9735994,14.4030504,17.2191257,0,0,4.7814608,4.7814608,4.7814608,4.7814608,4.7814608,5.8961573,7.0695219,8.6828985,41.7717819,41.7717819,41.7717819
MAL-0036,3.1387503,2.6987386,2.6987386,2.7280726,2.7280726,5.4854798,5.7201524,5.9548254,5.8961573,6.9815197,8.1548843,0,0,5.7201524,5.7201524,5.7201524,5.7201524,5.7201524,5.7201524,6.893517,6.893517,14.9897327,14.9897327,14.9897327
MAL-0037,0.8213552,0.7040188,0.6746846,0.6160164,0.5573482,1.1146964,1.1440305,1.1146964,1.1146964,1.1733646,1.2026987,0,0,0.0880023,0.0880023,0.0880023,0.0880023,0.0880023,0.0880023,0.0880023,0.0880023,1.0853623,1.0853623,1.0853623
MAL-0038,2.2000587,2.1120563,1.9947199,1.9360516,1.9360516,2.5814021,2.4347315,2.4347315,2.4347315,2.1707246,2.2000587,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0039,10.9122906,10.5309477,9.9442654,9.5922556,9.1522436,11.1469641,10.6189499,10.1789379,9.8269291,9.328249,8.9762392,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0040,26.664711,25.5793495,24.5233212,24.2006454,23.6726322,24.9633331,24.7286587,23.555294,23.0566139,22.7339401,21.9712524,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0041,48.870636,47.2865944,45.5852165,44.1185112,43.561161,43.0624809,42.270462,40.7744217,39.7183914,38.6330299,37.0783234,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0042,58.0228806,56.468174,54.5614548,52.3027267,50.5720139,52.5080681,50.9533577,49.3693161,47.5212669,45.4678802,43.2091522,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0043,70.0205307,69.5511856,69.1405106,68.4364929,67.5858002,70.2258759,69.3751831,68.5244904,67.2924576,66.0897598,64.7110596,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0044,38.2516861,39.0437088,39.5130539,39.4543839,39.6890602,40.6277504,41.0677605,41.1264305,41.1557655,41.3904381,41.5957756,4.4294515,8.1255503,8.1255503,8.1255503,8.1255503,8.1255503,8.1255503,8.1255503,8.1255503,8.1255503,8.1255503,8.1255503,13.1123495
MAL-0045,24.0539742,24.7286587,24.9633331,25.051334399999998,25.2860069,26.5767078,27.3980637,27.3393955,27.2220592,27.5740681,27.7794075,7.9495454,7.9495454,7.9495454,7.9495454,7.9495454,7.9495454,7.9495454,7.9495454,7.9495454,7.9495454,7.9495454,7.9495454,8.9175711
MAL-0046,10.5309477,10.2669401,10.1496038,9.8269291,9.797595,10.1789379,10.4429455,10.5309477,10.7949543,12.1736584,12.437665,6.1601644,8.448225,8.448225,8.7415667,8.7415667,8.7415667,8.7415667,8.7415667,8.7415667,8.7415667,12.877677,12.877677,12.877677
MAL-0047,8.0962162,7.8028746,7.5095334,6.9228511,6.9815197,7.7442064,8.008214,7.8615432,7.568202,10.9709597,10.7656202,4.4881196,6.1601644,6.1601644,6.1601644,6.1601644,6.1601644,6.1601644,6.4828396,6.4828396,6.4828396,15.0190668,15.0190668,15.0190668
MAL-0048,7.0695219,6.7175126,6.0428276,5.573482,5.4268112,6.9521852,7.098856,7.0695219,6.8641829,6.9815197,7.5095334,0,0,0,0,0,0,0,1.1146964,1.1146964,1.1146964,9.0349073,9.0349073,9.0349073
MAL-0049,7.333529,6.7175126,6.2188325,5.7494864,5.573482,8.5068932,8.888237,8.888237,8.6828985,8.8002348,9.2402468,0,0,0,0,0,0,0,0.5573482,0.5573482,0.5573482,2.5814021,2.5814021,2.5814021
MAL-0050,4.2534466,3.6080961,3.1974187,2.7280726,2.6107364,2.3760633,2.3173952,2.0827222,1.9653858,1.8773834,1.6720446,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0051,10.1496038,9.328249,8.2722206,7.6268702,7.1868582,8.0375481,7.5975361,7.2455263,7.0695219,6.6001759,6.4241714,0,0,0,0.4693458,0.4693458,0.4693458,0.4693458,0.4693458,0.4693458,0.4693458,0.4693458,0.4693458,0.4693458
MAL-0052,20.7685547,19.5365219,18.1284828,17.336462,16.5151062,19.1845112,18.3924904,17.4244652,16.5737762,15.8404226,15.4297447,0,0,0,3.0214138,3.0214138,3.0214138,3.0214138,3.0214138,3.0214138,3.0214138,3.0214138,3.0214138,3.0214138
MAL-0053,41.4197693,39.7477264,38.6036949,39.0437088,38.2223511,41.1850967,40.3344078,38.1050148,36.4916382,35.3769417,34.0862427,0,0,0,4.1947784,4.1947784,4.1947784,4.1947784,4.1947784,4.1947784,4.1947784,4.1947784,4.1947784,4.1947784
MAL-0054,67.7911377,67.0871201,65.8550873,65.1804047,64.6230545,66.5297775,65.2390747,62.8923454,61.0442963,59.1669121,56.8495178,0,0,0,0.3226753,0.3226753,0.3226753,0.3226753,0.3226753,0.3226753,0.3226753,0.3226753,0.3226753,0.3226753
MAL-0055,75.3300095,74.6259918,74.1566467,73.7459641,73.6579666,73.6579666,72.8072739,71.4579086,71.076561,70.0498657,68.7005005,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0056,66.7351151,67.057785,67.6444702,67.6444702,67.9084778,69.1698456,69.287178,69.0525055,68.7005005,68.3191528,67.6738052,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0057,48.6359634,49.2813148,49.9853325,50.3960114,50.8946915,53.300087,54.1507759,54.5027885,54.9134636,54.6201248,54.5614548,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047,0.1760047,2.3467293
MAL-0058,32.2968597,32.8835449,32.9715462,33.1768837,33.6168976,35.552948,36.1982994,36.3449707,36.5503082,36.432972,36.2569656,6.0134935,6.0134935,6.0134935,6.0134935,6.0134935,6.0134935,6.0134935,6.0134935,6.0134935,6.0134935,6.0134935,6.0134935,6.0134935
MAL-0059,13.6110296,13.1123495,12.7310066,12.437665,12.3789968,13.2590199,13.5230274,13.4936934,13.347023,13.2590199,13.2003517,9.9442654,9.9442654,9.9442654,9.9442654,9.9442654,9.9442654,9.9442654,9.9442654,9.9442654,9.9442654,9.9442654,9.9442654,9.9442654
MAL-0060,7.0108538,6.6881785,6.6001759,5.9548254,5.8668232,6.2188325,6.2188325,5.9841595,5.8374891,5.6028161,5.3094749,7.2455263,7.2455263,7.2455263,7.2455263,7.2455263,7.2455263,7.2455263,7.2455263,7.2455263,7.2455263,7.2455263,7.2455263,7.2455263
MAL-0061,7.9495454,7.0695219,5.8668232,5.1921387,4.869463,4.9281316,4.9281316,4.4294515,4.3414493,4.0774422,3.9307716,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0062,13.1710176,11.7043123,10.5016136,9.5042534,9.0055733,9.4162512,8.888237,8.3895569,7.8615432,7.3628631,6.8641829,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0063,25.1393375,21.6485767,19.5071869,17.805809,17.0137863,16.4564381,15.3124084,14.5203876,13.8457022,12.9950132,12.0269871,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0064,20.416544,17.6884708,15.5764151,14.227046,13.5230274,12.9363451,12.2323265,11.4109707,11.3229685,10.9709597,10.3549423,0,0,0,0.264007,0.264007,0.264007,0.264007,0.264007,0.264007,0.264007,0.264007,0.264007,0.264007
MAL-0065,27.6620712,25.1686707,23.085948900000002,23.4672928,22.4992676,23.4086246,22.8512764,21.8245811,20.8272228,20.2992077,19.3018475,0,0,0,8.9469051,8.9469051,8.9469051,8.9469051,8.9469051,8.9469051,8.9469051,8.9469051,8.9469051,8.9469051
MAL-0066,42.241127,40.2170715,38.7797012,40.011734,39.2783813,42.5051346,41.3611031,39.3077164,37.1663246,35.7289543,34.9369316,0,0,0,9.8855972,9.8855972,9.8855972,9.8855972,9.8855972,9.8855972,9.8855972,9.8855972,9.8855972,9.8855972
MAL-0067,71.0178909,70.6365509,69.6685257,68.935173,67.8791428,69.1405106,67.6444702,65.9430923,64.036377,62.3349953,60.7509537,0,0,0,0.6746846,0.6746846,0.6746846,0.6746846,0.6746846,0.6746846,0.6746846,0.6746846,0.6746846,0.6746846
MAL-0068,76.7380447,76.6500473,76.6500473,76.8553848,77.0313873,77.0020523,76.5620422,76.1220322,75.2420044,74.6846619,74.3326492,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0069,60.7216187,60.5456161,61.2202988,61.3963051,62.3936653,62.3349953,63.2736855,63.537693,63.4790268,63.3616905,63.4790268,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL-0070,33.382225,33.5582275,33.8809052,34.232914,34.3209152,36.7263145,37.782341,38.1050148,38.4276924,38.1930199,37.9290123,0.2346729,0.2346729,0.2346729,0.2346729,0.2346729,0.2346729,0.2346729,0.2346729,0.2346729,0.2346729,0.2346729,0.2346729,2.2587268
MAL-0071,31.7981815,31.6808453,32.032856,32.1501923,33.0008812,35.9636269,36.7556458,36.9903183,37.2543259,36.9316521,36.902317,4.4294515,4.4294515,4.4294515,4.4294515,4.4294515,4.4294515,4.4294515,4.4294515,4.4294515,4.4294515,4.4294515,4.4294515,6.4535055
MAL-0072,20.5338802,20.1525383,20.005867,20.1232033,20.5925484,23.1446171,23.8779697,23.8486366,24.0539742,24.1126423,23.9366379,4.5761218,4.5761218,4.5761218,4.5761218,4.5761218,4.5761218,4.5761218,4.5761218,4.5761218,4.5761218,4.5761218,4.5761218,4.5761218
MAL-0073,16.1630974,16.1630974,16.5444412,16.2217655,16.3684368,19.2431793,19.565855,19.7125263,19.5071869,19.3605156,19.3605156,9.1229095,9.1229095,9.1229095,9.1229095,9.1229095,9.1229095,9.1229095,9.1229095,9.1229095,9.1229095,9.1229095,9.1229095,9.1229095
MAL-0074,14.9017305,14.4030504,14.5790558,13.8457022,13.6990318,15.9577589,15.8110886,15.6350832,15.7230864,15.4884129,15.0484009,7.8908772,7.8908772,7.8908772,7.8908772,7.8908772,7.8908772,7.8908772,7.8908772,7.8908772,7.8908772,7.8908772,7.8908772,7.8908772
