ID,sci11_1040_1km,sci12_1040_1km,sci13_1040_1km,sci14_1040_1km,sci15_1040_1km,sci16_1040_1km,sci17_1040_1km,sci18_1040_1km,sci19_1040_1km,sci20_1040_1km,sci21_1040_1km,Thin0211,Thin0212,Thin0213,Thin0214,Thin0215,Thin0216,Thin0217,Thin0218,Thin0219,Thin0220,Thin0221,Thin0222,Thin0223
PAY-0001,30.9474926,31.3581696,31.3288345,31.4461727,32.1795235,30.3901443,30.7421532,30.5954819,30.4488125,30.8008213,31.0354939,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0002,36.4916382,36.7849808,36.432972,36.432972,36.9316521,33.5288925,33.4408913,33.1768837,32.8248749,32.7368736,32.7075386,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0003,20.2405396,20.5338802,20.5632153,20.8565559,21.3845711,19.7418594,19.8591957,19.7711945,19.8005276,20.0938683,20.4752121,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0004,24.3179817,24.8459949,25.3153419,26.4593716,28.5420952,32.7955399,33.7635689,34.3502502,34.3209152,34.3209152,34.3795853,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0005,20.2698746,21.0032272,21.2965679,22.0299206,24.024641,29.9794655,32.7955399,33.9395714,34.9369316,35.7876205,36.9903183,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0006,19.8298626,20.0352001,20.0352001,19.9471989,20.5338802,21.2965679,22.5872688,23.1739521,23.6432972,24.3179817,25.5793495,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0007,12.8190088,13.1123495,13.2883539,13.4350252,13.8163681,15.987093,16.3977699,16.4564381,16.3391018,16.3391018,16.5151062,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0008,3.1680844,3.2560868,3.2560868,3.3440893,3.4907598,4.2241125,4.1654444,4.1654444,4.0774422,4.0481081,4.0774422,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0009,22.9392776,23.4672928,23.9659729,24.2593136,24.9339981,24.1126423,24.4939861,25.051334399999998,25.3153419,25.2566738,25.4033432,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0010,28.2780876,28.454092,28.7767677,29.2754478,30.1554699,30.9474926,31.2995014,31.6515102,31.5048409,31.1528301,31.3581696,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0011,19.3605156,19.7125263,20.005867,20.9152241,22.3819294,28.454092,29.4221172,29.7447929,29.5394535,29.4514523,29.5394535,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0012,16.8377819,16.9844532,17.0724545,17.5124664,18.8618355,26.9580517,29.0994434,29.6274567,30.2141399,30.683485,31.9741859,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0013,12.0269871,11.8216486,11.8803167,11.8216486,12.437665,14.6083899,15.3417425,15.6644173,15.9577589,16.5737762,17.5711346,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0014,8.0962162,8.2428865,8.448225,8.3602228,9.0349073,12.1443243,12.2616606,11.997653,11.7629805,11.7629805,11.6456442,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0015,6.3655033,6.4535055,6.5415077,6.7175126,7.8615432,11.0002937,11.1469641,10.9709597,10.8536224,10.648284,10.4722795,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0016,4.6054564,4.6347904,4.7814608,5.0161338,5.6028161,7.0695219,7.12819,7.1575241,7.0401878,6.5708418,6.4828396,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0017,41.6837769,41.7717819,42.0357895,42.270462,42.9451447,40.8330879,40.9504242,41.1557655,41.1850967,41.1557655,41.331768,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0018,36.7263145,37.1956596,37.6943398,38.0756836,39.3957176,36.7849808,37.6063347,37.9583473,37.9290123,38.0463486,38.4570236,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0019,25.6086826,25.9606915,26.0780296,26.0486946,26.7233791,25.0220013,25.3446751,25.4620132,25.3740101,25.2566738,25.3740101,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0020,23.2326202,23.3206215,23.3792896,23.1446171,23.5259609,22.2645931,22.23526,22.1472569,22.1472569,21.765913,21.9125843,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0021,17.8938103,18.0404816,17.9818134,18.0991497,19.2431793,22.1765919,22.4405975,22.5579357,22.4112644,22.3819294,22.4112644,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0022,17.8938103,17.5418015,17.4244652,17.1604576,18.1284828,22.1179237,22.4699326,22.3819294,21.9712524,21.765913,21.9712524,0,0,0,0,0,0,0.0293341,0.0293341,0.0293341,0.0293341,0.0293341,0.0293341,0.0293341
PAY-0023,7.12819,6.7175126,6.6295099,6.2188325,6.4241714,6.7761807,6.9521852,6.8348489,6.7468467,6.7175126,6.7468467,0,0,0,0,0,0,3.0800822,3.0800822,3.0800822,3.0800822,3.0800822,3.0800822,3.0800822
PAY-0024,10.1202698,10.4429455,10.7656202,10.5309477,10.9709597,11.0882959,10.8536224,10.6189499,10.2962742,10.3549423,10.1202698,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0025,17.747139,18.216486,18.4804935,18.6271629,20.0645351,22.3819294,22.1472569,21.3552361,20.8272228,20.5338802,19.9471989,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0026,15.8404226,16.89645,17.365797,17.5711346,18.3924904,19.8885307,20.2405396,20.3578758,20.5338802,20.5338802,20.2112064,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0027,37.1076546,37.2249908,37.4303322,37.782341,38.6917,38.4863586,39.0730438,39.4543839,39.7183914,39.7183914,40.1877365,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0028,21.4139042,21.5899086,21.6779118,21.5899086,22.7046051,23.2326202,24.0539742,24.3179817,24.024641,23.8486366,24.0833092,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0029,14.5497217,14.3443823,13.9630394,13.5523615,13.6696978,12.7310066,12.4963331,11.9683189,11.557642,11.2936344,11.2349663,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0030,17.336462,16.9551182,16.6031094,16.3097687,16.7497807,15.6057491,15.2830744,14.6963921,14.3737164,14.0217075,14.3150482,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0031,13.3763571,13.2003517,13.2883539,13.2003517,14.2563801,15.6350832,15.547081,15.136404,14.8723965,14.9017305,15.0190668,0,0,0,0,0,0,4.6641245,4.6641245,4.6641245,4.6641245,4.6641245,4.6641245,4.6641245
PAY-0032,7.4215312,7.3041949,7.333529,7.4215312,8.7122326,12.0856552,12.3496628,12.2616606,11.9389849,11.7923145,11.9096508,0,0,0,0,0,0,17.1897926,17.1897926,17.1897926,17.1897926,17.1897926,17.1897926,17.1897926
PAY-0033,8.5068932,8.2135525,8.0962162,7.9202113,8.008214,8.1548843,7.6562042,7.1575241,6.893517,6.6588445,6.4828396,0,0,0,0,0,0,15.1657381,15.1657381,15.1657381,15.1657381,15.1657381,15.1657381,15.1657381
