Point_ID,UTM_E,UTM_N,DATUM,ELEV,Transect_ID,Point_no,YR_Treated,Treatment_Description,FACTS_ID,Sale_Name
DES_D01,612804.6677,4929457.311,NAD83 Z10,,DES_D,1,999,,,
DES_D02,612943.6671,4929189.213,NAD83 Z10,,DES_D,2,999,,,
DES_D03,613085.9066,4928933.137,NAD83 Z10,,DES_D,3,999,,,
DES_D04,613176.5296,4928614.396,NAD83 Z10,,DES_D,4,999,,,
DES_D05,613378.0411,4928401.946,NAD83 Z10,,DES_D,5,999,,,
DES_D06,613515.9002,4928141.654,NAD83 Z10,,DES_D,6,999,,,
DES_D07,613658.5508,4927878.9,NAD83 Z10,,DES_D,7,999,,,
DES_D08,613795.3182,4927608.782,NAD83 Z10,,DES_D,8,999,,,
DES_D09,613937.891,4927345.401,NAD83 Z10,,DES_D,9,999,,,
DES_D10,614087.2825,4927081.842,NAD83 Z10,,DES_D,10,999,,,
DES_E01,599231.051,4928048.158,NAD83 Z10,,DES_E,1,999,,,
DES_E02,598994.8149,4927863.311,NAD83 Z10,,DES_E,2,999,,,
DES_E03,598776.7331,4927645.089,NAD83 Z10,,DES_E,3,999,,,
DES_E04,598560.1378,4927462.753,NAD83 Z10,,DES_E,4,999,,,
DES_E05,598324.544,4927248.069,NAD83 Z10,,DES_E,5,999,,,
DES_E06,598095.1611,4927055.717,NAD83 Z10,,DES_E,6,999,,,
DES_E07,597881.8454,4926848.77,NAD83 Z10,,DES_E,7,999,,,
DES_E08,597657.6296,4926657.05,NAD83 Z10,,DES_E,8,999,,,
DES_E09,597432.2385,4926450.591,NAD83 Z10,,DES_E,9,999,,,
DES_E10,597208.6968,4926264.725,NAD83 Z10,,DES_E,10,999,,,
DES_F01,599907.0442,4924911.183,NAD83 Z10,,DES_F,1,999,,,
DES_F02,600197.8961,4924824.318,NAD83 Z10,,DES_F,2,999,,,
DES_F03,600492.4054,4924759.433,NAD83 Z10,,DES_F,3,999,,,
DES_F04,600791.6711,4924672.436,NAD83 Z10,,DES_F,4,999,,,
DES_F05,601075.5287,4924615.019,NAD83 Z10,,DES_F,5,999,,,
DES_F06,601368.3202,4924534.276,NAD83 Z10,,DES_F,6,999,,,
DES_F07,601658.0208,4924454.211,NAD83 Z10,,DES_F,7,999,,,
DES_F08,601954.7299,4924384.895,NAD83 Z10,,DES_F,8,999,,,
DES_F09,602240.9596,4924308.838,NAD83 Z10,,DES_F,9,999,,,
DES_F10,602549.9294,4924203.297,NAD83 Z10,,DES_F,10,999,,,
DES_G01,609311.44,4923198.1,NAD83 Z10,,DES_G,1,999,,,
DES_G02,609300.1165,4922910.282,NAD83 Z10,,DES_G,2,999,,,
DES_G03,609282.2585,4922599.051,NAD83 Z10,,DES_G,3,999,,,
DES_G04,609264.0218,4922293.051,NAD83 Z10,,DES_G,4,999,,,
DES_G05,609244.2019,4922000.936,NAD83 Z10,,DES_G,5,999,,,
DES_G06,609220.0383,4921703.84,NAD83 Z10,,DES_G,6,999,,,
DES_G07,609206.175,4921405.971,NAD83 Z10,,DES_G,7,999,,,
DES_G08,609193.6054,4921098.123,NAD83 Z10,,DES_G,8,999,,,
DES_G09,609176.7942,4920799.168,NAD83 Z10,,DES_G,9,999,,,
DES_G10,609156.1898,4920500.272,NAD83 Z10,,DES_G,10,999,,,
DES_I01,604209.7702,4916313.895,NAD83 Z10,,DES_I,1,999,,,
DES_I02,603974.4456,4916505.423,NAD83 Z10,,DES_I,2,999,,,
DES_I03,603739.9744,4916699.07,NAD83 Z10,,DES_I,3,999,,,
DES_I04,603515.448,4916889.122,NAD83 Z10,,DES_I,4,999,,,
DES_I05,603281.6859,4917078.691,NAD83 Z10,,DES_I,5,999,,,
DES_I06,603053.6675,4917267.835,NAD83 Z10,,DES_I,6,999,,,
DES_I07,602817.144,4917458.714,NAD83 Z10,,DES_I,7,999,,,
DES_I08,602527.254,4917702.818,NAD83 Z10,,DES_I,8,999,,,
DES_I09,602286.8596,4917903.177,NAD83 Z10,,DES_I,9,999,,,
DES_I10,602068.6266,4918087.75,NAD83 Z10,,DES_I,10,999,,,
DES_K01,615105.1296,4914744.495,NAD83 Z10,,DES_K,1,999,,,
DES_K02,614745.1933,4914714.722,NAD83 Z10,,DES_K,2,999,,,
DES_K03,614456.6518,4914715.039,NAD83 Z10,,DES_K,3,999,,,
DES_K04,614157.538,4914713.279,NAD83 Z10,,DES_K,4,999,,,
DES_K05,613847.7907,4914695.411,NAD83 Z10,,DES_K,5,999,,,
DES_K06,613541.3155,4914683.746,NAD83 Z10,,DES_K,6,999,,,
DES_K07,613254.4162,4914671.135,NAD83 Z10,,DES_K,7,999,,,
DES_K08,612940.0437,4914726.72,NAD83 Z10,,DES_K,8,999,,,
DES_K09,612652.8616,4914664.035,NAD83 Z10,,DES_K,9,999,,,
